Property_ID,County,Address,Zip_Code,Crime_Rate,Bedrooms,Bathrooms,Walkability_Score,Floor,New_Construction,Renovated,Washer_Dryer,Trash_Service,Average_Rent
5f94c7e7-887b-459c-a918-6324df20437d,Solano,"068 Nielsen Rapids, Lake Ashley, MT 52153",99651,3.5,4,3,75,4,False,False,False,NOT_INCLUDED,$2843
3c3363c8-633b-4367-bcb0-31588957cd68,San Mateo,"31861 Ann Isle Suite 931, Andreaton, PW 04917",50927,4.5,4,3,77,4,False,False,True,INCLUDED,$3672
1f79d1c2-eed6-43e3-8097-3f11b2671dfa,San Francisco,"48666 Freeman Oval, Port John, WY 62849",55080,4.6,2,2,90,3,True,False,True,INCLUDED,$2749
b004b54e-3a86-4718-89d8-928b821ade03,Napa,"USNV Garcia, FPO AE 14574",31560,3.8,2,2,74,1,True,False,True,INCLUDED,$3738
a0997700-6d3e-47e3-b744-b37dec531eca,San Mateo,"75822 Hernandez Mews, North Brendabury, NE 76892",04718,2.8,2,3,85,2,False,True,True,INCLUDED,$3328
03c7ecd8-bb67-48ab-a5d3-5ec30c498a11,Napa,"27809 Gonzalez Island Apt. 406, Woodmouth, AL 41824",90681,2.4,4,1,85,2,False,True,False,NOT_INCLUDED,$2240
018fbc8d-df36-4bc1-8bfb-ece292299b65,Sonoma,"053 Terry Mission, Port Scott, KS 83244",15733,2.9,3,2,73,1,True,True,False,NOT_INCLUDED,$3820
aa644cc7-1831-40c2-b6c5-b3dbe9b8d58a,San Francisco,"USS Boyle, FPO AA 51205",66996,4.0,2,2,71,1,True,True,True,NOT_INCLUDED,$2940
6b7aef73-e228-426f-b134-929a5ebcf0bb,Napa,"PSC 7629, Box 5990, APO AA 54179",45322,3.5,2,3,90,4,True,False,True,INCLUDED,$2660
98f77105-68dc-49b0-a52a-04ceb50b7059,San Francisco,"30853 Jerry Isle Apt. 835, South Jenniferfurt, FM 98879",80498,3.3,2,3,91,4,False,False,True,NOT_INCLUDED,$2113
cdee0a3c-8462-40ab-b238-e42c14aab4a7,Solano,"744 Vazquez Rapids, Jasonville, OH 90663",18760,4.3,1,1,63,4,True,False,True,INCLUDED,$3727
2184d168-f073-4dd3-a8ee-01f778caa598,Marin,"02465 Ricky Passage, Wongview, CA 46142",14990,2.3,1,1,86,2,False,True,False,INCLUDED,$2506
211805cd-aa12-4706-9d0b-b62e335c5013,Contra Costa,"778 Allen Stream, Lake Matthewmouth, NY 42271",78595,3.5,1,1,68,1,True,False,True,INCLUDED,$3980
78c1a78f-3e21-4692-be12-0270d5f6d9fd,Sonoma,"4959 Virginia Mills, Smithland, MN 84496",04371,3.6,4,1,63,3,False,False,True,INCLUDED,$3884
c8709341-ab21-4877-9c9c-e96200a1be52,Contra Costa,"0355 Kimberly Views Suite 749, South Katie, SD 38145",20133,3.7,1,1,70,4,False,False,True,INCLUDED,$2164
c71ee8b6-e419-4482-a331-0374be3c9e98,Sonoma,"50264 Pierce Trail, North Curtishaven, WA 77463",95530,2.5,1,3,80,4,True,True,True,INCLUDED,$2277
e30f77ac-c8b0-4a66-853f-5c0cd1011d81,Sonoma,"8160 Matthew Island, North Scott, MS 83922",84669,4.9,4,1,98,3,True,True,False,NOT_INCLUDED,$2357
6e8ddd3e-fefd-4b05-87a0-e7066a18c0dc,Contra Costa,"2727 Victoria Inlet Suite 864, West Chaseshire, AS 02495",47964,3.9,3,2,69,4,True,False,True,NOT_INCLUDED,$2741
b0c083fa-ef0b-4f32-a880-d597b3e4ee20,Solano,"512 Bentley Overpass Apt. 554, Everettside, ME 87044",49364,4.8,2,2,72,3,False,True,False,NOT_INCLUDED,$2871
3cfe1571-93c3-4f0f-8ff9-3ab3137e8127,Santa Clara,"2057 Kelly Hollow Suite 647, Stevebury, MS 74848",60461,4.3,3,1,67,1,False,True,True,NOT_INCLUDED,$3799
caf0a7f8-170b-4bb6-968b-e71e0bc06c0b,Alameda,"938 Walker Islands, West Kaitlynborough, WI 15463",52976,4.1,3,1,83,4,False,True,True,NOT_INCLUDED,$2041
969e0d9d-5692-46bb-b51d-ba104a6501ca,San Mateo,"PSC 8886, Box 1172, APO AE 55983",31668,2.9,1,2,66,2,True,False,True,NOT_INCLUDED,$3978
